Zurich;Zurich;Helvetia;Algerische Aussenhandelsbank AG;AdCubum
Switzerland;Schweiz;Swiss-re;Alternative Bank Schweiz AG;Avaloq
Private Bank, Banking;Privat Bank;Helsana;AP ANLAGE & PRIVATBANK AG;SAP
Insurance;Versicherung;Smile.Direct;Aquila & Co. AG;Oracle
IT Transformation;IT Tranformation;Sanitas;Arab Bank (Switzerland) Ltd.;Fiducia
IT project;IT Projekt;Zurich Versicherung;ARNER BANK AG;Swisscard
Implementation;Implementierung / Umwandlung;TCS;Baloise Bank SoBa AG;Synpulse
Carve Out;;Agrisano Versicherungen AG;Banca Popolare di Sondrio (Suisse) SA;Orbium
Merger;;AIG Europe Limited;Banco Itaú (Suisse) SA;B-Source
Adquisition;;Allianz Suisse Leben;Bank CIC (Schweiz) AG;Finnova
Consulting;;Allianz Suisse Versicherungen;Bank Cler AG;Host
Geneve;Genf;Appenzeller Versicherungen;Bank Hapoalim (Schweiz) AG;Temenos
IT Platform;;Aspecta Assurance International AG;Bank J. Safra Sarasin AG;Misys
Software provider;;Aspen Insurance;Bank Julius Bär & Co. AG;Finacle
M&A;;Aspen Re;Bank Lombard Odier & Co AG;Zafin
Project Management /manager;Projektleiter / Projektleitung;Assista Rechtsschutz AG;Bank of America Merrill Lynch International Limited, London, Zweigniederlassung Zürich;Crealogix
Agile;;Assura SA;Bank Sparhafen Zürich AG;sybrin
Kanban;;AXA Leben AG;Bank SYZ AG;RiskVal
Cut-Over;Cutover;AXA Partners – Credit & Lifestyle Protection;Bank Von Roll AG;InfoPro
Dress Rehearsal;;AXA Versicherungen AG;Bank Vontobel AG;Mortgagebot
FATCA;;AXIS Re Europe;bank zweiplus ag;Natech
MiFID / MiFID II;MiFID / MiFID II;Basler Leben;BANK-now AG;Kamakura Corporation
Legacy;;Basler Versicherungen;Banque Cantonale de Genève;its.ws (international turnkey systems)
871(m);871(m);Branchen Versicherung Schweiz;Banque Cramer & Cie SA;Murex
