Jos televisiosi reistailee, syy saattaa olla tämä: voimakas radiokeli riivaa Suomea||"Voimakas radiokeli haittaa televisiolähetyksiä eri puolella Suomea. Televisiolähetyksissä on ollut katkoksia eri puolella Suomea lauantaista lähtien. Digitan arvion mukaan häiriöt jatkuvat ainakin alkuviikon ajan.
 Antennitalouksia vaivaava ongelma johtuu niin sanotusta radiokelistä, kerrotaan tv-lähetyksistä vastaavan Digitan viestinnästä.
"
Kaupungit taistelevat tuomioistuinvirastosta jo ennen päätöstä sen perustamisesta – jopa lastenfestivaali ja huipputason urheilu nostetaan kilpailuvaltiksi|Kotimaa|Toimikunta ehdotti virastoa pääkaupunkiseudulle, mutta kisaan on ilmoittautunut kuusi kaupunkia eri puolilta maata.
Sami Hintsanen tuomittiin sakkoihin naapurinsa pahoinpitelystä ja uhkaamisesta|Kotimaa|Juontaja-laulaja-näyttelijä Sami Hintsanen sai 1240 euron sakot pahoinpitelystä sekä laittomasta uhkauksesta.
19-vuotias unohdettiin luolaan USA:ssa - nuoli seinämiä pysyäkseen hengissä||"Indianan yliopiston ensimmäisen vuoden opiskelija vietti yksin luolassa lähes kolme päivää, koska hän jäi vahingossa jälkeen ryhmästään. Indianan yliopiston ensimmäisen vuoden opiskelija unohdettiin luolaan lähes kolmeksi päiväksi.
 19-vuotias Lukas Cavar liittyi yliopiston luolakerhoon, joka järjesti viime sunnuntaina luolaretken aloittelijoille. Retki suuntautui Sullivan-nimiseen luolaan.
"
Ilmavoimilta lisätietoa suomalaishävittäjän hätäkutsusta ilmassa – laskutelineeseen iski vika kesken Aurora-harjoituksen|Kotimaa|Aurora-sotaharjoitukseen osallistunut suomalaishävittäjä lähetti sunnuntaina hätäkutsun ilmassa. Hornet F18 laskeutui jarruvaijerin avulla Ålborgin lentokentälle Tanskassa sunnuntaina kello 14.45.
Lähes 200 tutkijaa ympäri maailman vetoaa EU-ministereihin: Metsien hakkuille asetettavia rajoituksia ei saa vesittää|Talous|Avoimen kirjeen allekirjoittaneet tutkijat katsovat, etteivät EU:n päätöksentekijät kuuntele tiedeyhteisöä.
Netin vaarallisin haku juuri nyt on poptähti Avril Lavigne – Näin kanadalaislaulajasta tuli kyberrikollisten ja salaliittoteoreetikoiden suosikki|Nyt.fi|""
Suomi jatkaa kriisinhallintaa Libanonissa ensi vuoden jälkeenkin|Politiikka|Presidentti ja ministerit päättivät, että Bosnia-Hertsegovinan operaatioon osallistumisesta luovutaan.
Iltapäivän sudoku|HS Ilta|""
Tuhannet ihmiset osallistuivat värijuoksutapahtumaan Shanghaissa|Ulkomaat|Maanantain kuvakoosteessa nähdään muun muassa NFL-pelaajien protesti Marylandissa, norsu vaatimassa suoraa demokratiaa Berliinissä ja koiran pelastus romahtaneen talon raunioista Méxicossa.
Lähde lähiöön|Kauppalehti Optio|Helsinki tutuksi: Kymmeneen lähiöön levittäytyvä festivaali kutsuu kehittämään kaupunkia.
Maanantain sarjakuvat|HS Ilta|""
Entinen maailman lihavin nainen kuoli laihdutusleikkauksen jälkeen|Ulkomaat|37-vuotias egyptiläisnainen menehtyi sairaalassa komplikaatioihin.
Musti ja Mirri saa uuden toimitusjohtajan vaateketju Indiskasta|Talous|David Rönnberg aloittaa tehtävässään lokakuun alussa.
Britannian työväenpuolue muutti brexit-linjaansa: ei sulje pois jäämistä tulliunioniin EU:n kanssa|Ulkomaat|Opposition brexit-vastaava sanoi puolueensa olevan aikuinen.
Antti Lindtman, 34, ja puoliso Kaija Stormbom, 54, saivat jo äitiyspakkauksen kotiin – ”Välillä saa itseään nipistää”|Kotimaa|Äitiyspakkauksen tulo konkretisoi sen, mikä on edessä, kansanedustaja Antti Lindtman kertoo.
Poliisi: Lahdessa perjantaina poliisia pakoon ajanutta ei enää epäillä murhan yrityksistä|Kotimaa|Epäilynimikkeet lievenivät törkeiden pahoinpitelyjen yrityksiksi.
Kreikalle iso virstanpylväs: pääsee EU:n budjettitarkkailusta|Talous|Viime vuoden budjetti oli ylijäämäinen, ja velkasuhteen ennustetaan kääntyneen laskuun.
Auton omistaminen on pian historiaa, sanoo liikennetutkija ja vertaa autoa tupakkaan: ”Ei enää ajatella, että olisi hyvä juttu, jos baareissa voisi polttaa”|Auto|Tutkimusjohtaja Arto O. Salonen ennustaa, että autoilu ja liikkuminen muuttuvat radikaalisti tulevaisuudessa. OP:n uusi autopalvelu on saanut noin 10 000 asiakasta.
